# Transmission spectrum extracted from transmission.png
# Columns: pixel_x, pixel_y, x_normalized, y_normalized
# Note: x_normalized and y_normalized are in range [0, 1]
# The actual wavelength/frequency and transmission values depend on the original plot axes
# Modify the ranges in the script if you know the actual axis values
#
# pixel_x    pixel_y    x_normalized    y_normalized(transmission)
   235.0     263.7  0.214808  0.313368
   236.0     287.6  0.215722  0.251085
   237.0     311.5  0.216636  0.188802
   238.0     311.5  0.217550  0.188802
   239.0     311.5  0.218464  0.188802
   240.0     240.1  0.219378  0.374674
   241.0     264.4  0.220293  0.311415
   242.0     288.7  0.221207  0.248155
   243.0     313.0  0.222121  0.184896
   244.0     313.5  0.223035  0.183594
   245.0     313.5  0.223949  0.183594
   246.0     230.3  0.224863  0.400298
   247.0     230.3  0.225777  0.400298
   248.0     230.3  0.226691  0.400298
   249.0     314.0  0.227605  0.182292
   250.0     314.5  0.228519  0.180990
   251.0     314.5  0.229433  0.180990
   252.0     241.2  0.230347  0.371745
   253.0     266.0  0.231261  0.307292
   254.0     290.8  0.232176  0.242839
   255.0     315.5  0.233090  0.178385
   256.0     316.0  0.234004  0.177083
   257.0     317.0  0.234918  0.174479
   258.0     231.4  0.235832  0.397321
   259.0     231.4  0.236746  0.397321
   260.0     231.4  0.237660  0.397321
   261.0     318.0  0.238574  0.171875
   262.0     318.5  0.239488  0.170573
   263.0     318.5  0.240402  0.170573
   264.0     280.6  0.241316  0.269206
   265.0     242.8  0.242230  0.367839
   266.0     281.1  0.243144  0.267904
   267.0     319.5  0.244059  0.167969
   268.0     320.0  0.244973  0.166667
   269.0     320.5  0.245887  0.165365
   270.0     294.8  0.246801  0.232205
   271.0     269.2  0.247715  0.299045
   272.0     243.5  0.248629  0.365885
   273.0     322.0  0.249543  0.161458
   274.0     322.5  0.250457  0.160156
   275.0     322.5  0.251371  0.160156
   276.0     283.4  0.252285  0.262044
   277.0     244.2  0.253199  0.363932
   278.0     283.9  0.254113  0.260742
   279.0     323.5  0.255027  0.157552
   280.0     323.5  0.255941  0.157552
   281.0     324.0  0.256856  0.156250
   282.0     297.7  0.257770  0.224826
   283.0     271.3  0.258684  0.293403
   284.0     245.0  0.259598  0.361979
   285.0     325.5  0.260512  0.152344
   286.0     326.0  0.261426  0.151042
   287.0     326.5  0.262340  0.149740
   288.0     286.1  0.263254  0.254883
   289.0     245.8  0.264168  0.360026
   290.0     286.6  0.265082  0.253581
   291.0     327.5  0.265996  0.147135
   292.0     327.5  0.266910  0.147135
   293.0     328.0  0.267824  0.145833
   294.0     234.6  0.268739  0.389137
   295.0     234.6  0.269653  0.389137
   296.0     234.6  0.270567  0.389137
   297.0     329.0  0.271481  0.143229
   298.0     329.5  0.272395  0.141927
   299.0     329.5  0.273309  0.141927
   300.0     246.9  0.274223  0.357096
   301.0     274.8  0.275137  0.284505
   302.0     302.6  0.276051  0.211914
   303.0     330.5  0.276965  0.139323
   304.0     331.0  0.277879  0.138021
   305.0     331.5  0.278793  0.136719
   306.0     289.6  0.279707  0.245931
   307.0     247.6  0.280622  0.355143
   308.0     290.1  0.281536  0.244629
   309.0     332.5  0.282450  0.134115
   310.0     332.5  0.283364  0.134115
   311.0     333.0  0.284278  0.132812
   312.0     236.0  0.285192  0.385417
   313.0     236.0  0.286106  0.385417
   314.0     236.0  0.287020  0.385417
   315.0     333.5  0.287934  0.131510
   316.0     334.0  0.288848  0.130208
   317.0     334.5  0.289762  0.128906
   318.0     236.3  0.290676  0.384673
   319.0     236.3  0.291590  0.384673
