wavelength,transmission
683,0.660587428850437
684,0.6592891316547762
685,0.6579734145815544
686,0.6566410648482333
687,0.6552923019344524
688,0.6539272866002199
689,0.6525467118206428
690,0.6511512980988793
691,0.6497415402575685
692,0.6483176491559717
693,0.6468801108096388
694,0.6454296445454881
695,0.643966995976715
696,0.6424923147447125
697,0.6410060909639431
698,0.6395090280504041
699,0.6380008735877256
700,0.6364825904696939
701,0.6349556134862849
702,0.6334190736413604
703,0.6318727515429855
704,0.6303171273123719
705,0.6287524573702671
706,0.6271789768267674
707,0.625596994224269
708,0.6240068123896153
709,0.6224083455581865
710,0.6208014599939893
711,0.6191862173494016
712,0.6175628934912628
713,0.6159315858368761
714,0.6142921000949705
715,0.6126444744981626
716,0.6109888060571045
717,0.6093251504531
718,0.6076535063575482
719,0.6059738229987819
720,0.6042861437307069
721,0.6025909225138549
722,0.6008881868962863
723,0.599177630548023
724,0.5974591042029112
725,0.5957329661885862
726,0.5939995796226067
727,0.592258729807389
728,0.5905103193656642
729,0.5887544102864024
730,0.5869911463912785
731,0.5852204758611756
732,0.5834423384721784
733,0.5816567776650635
734,0.5798638434261211
735,0.578063459959689
736,0.5762555045966634
737,0.574440227132678
738,0.5726175819248291
739,0.5707872674233981
740,0.568949363107451
741,0.5671040653513635
742,0.5652515376693948
743,0.5633918463360571
744,0.5615248663527406
745,0.5596505344487744
746,0.5577691118257129
747,0.5558805118809355
748,0.5539846838130724
749,0.5520819338179004
750,0.5501722591547358
751,0.5482556492481555
752,0.5463322526622838
753,0.544402033950713
754,0.5424649105502942
755,0.5405208829364795
756,0.5385701979761112
757,0.5366128986540538
758,0.5346488615456936
759,0.5326782466415063
760,0.5307010849171501
761,0.5287172890074828
762,0.5267268670312347
763,0.5247299251767977
764,0.5227265231587734
765,0.5207165409160998
766,0.5187001945482721
767,0.5166775832220605
768,0.5146483272380548
769,0.512612574893488
770,0.5105705101456604
771,0.5085220326599234
772,0.5064672187352619
773,0.5044060034690414
774,0.5023381576935423
775,0.5002638446635924
776,0.498183219956959
777,0.4960962597827926
778,0.4940027476315167
779,0.49190273297130255
780,0.4897963670690593
781,0.48768340433055174
782,0.4855638658545921
783,0.48343784933478107
784,0.4813051468411659
785,0.4791658796380393
786,0.4770201529700049
787,0.4748677109922868
788,0.4727086269219545
789,0.4705429502445229
790,0.46837049708899
791,0.46619137086432844
792,0.4640056134535965
793,0.46181306924633586
794,0.45961366375841095
795,0.45740747400550735
796,0.4551946047010034
797,0.4529748111436353
798,0.45074802366426603
799,0.44851436117775795
800,0.44627385807636705
801,0.44402648647206727
802,0.44177217403453156
803,0.43951082757468113
804,0.4372424504229788
805,0.43496706497615445
806,0.4326846320509303
807,0.43039518711685687
808,0.42809874509554907
809,0.4257952332511816
810,0.4234845983417881
811,0.421166879192272
812,0.4188421815420125
813,0.4165104319300803
814,0.41417148744319177
815,0.41182527450615086
816,0.4094720271310926
817,0.4071118231494245
818,0.4047445360557189
819,0.4023700386081323
820,0.39998841723082135
821,0.3975998483580346
822,0.3952043433451375
823,0.39280174643010274
824,0.39039197877298004
825,0.38797525753328543
826,0.3855516629318944
827,0.3831211509309054
828,0.38068364076990235
829,0.37823923875174936
830,0.37578805460260495
831,0.37333010579792186
832,0.37086540965324183
833,0.36839393918905916
834,0.3659156908737847
835,0.3634309366249642
836,0.3609397425351281
837,0.3584420193007645
838,0.3559379222023234
839,0.3534276374577527
840,0.3509113190210163
841,0.34838907361960386
842,0.3458609749017914
843,0.34332713269165044
844,0.3407877500336169
845,0.3382429404905254
846,0.3356927958410494
847,0.33313746883707873
848,0.3305772377104836
849,0.3280123732629043
850,0.32544303267658703
851,0.3228693469456738
852,0.32029161453046795
853,0.31771025864031804
854,0.31512542925210923
855,0.3125372932933172
856,0.30994611859730997
857,0.3073522224018766
858,0.3047557588089236
859,0.3021568850129352
860,0.29955608027084374
861,0.2969535885256213
862,0.29434952732600833
863,0.29174413153612344
864,0.28913770095355634
865,0.2865305225782042
866,0.2839228196210003
867,0.2813148201055888
868,0.27870680024332944
869,0.2760990674485681
870,0.27349178002988167
871,0.27088518018096525
872,0.26827962679230427
873,0.26567532574437
874,0.26307254591560963
875,0.2604716073838859
876,0.25787267489207466
877,0.25527600214187085
878,0.252681901831133
879,0.2500905942446164
880,0.2475023701066823
881,0.2449175307631604
882,0.24233628566867904
883,0.2397588803213313
884,0.23718559208831802
885,0.23461670634861043
886,0.23205248543340382
887,0.22949317345317555
888,0.2269390081290352
889,0.22439025169417495
890,0.22184719055179702
891,0.21931012023809185
892,0.21677929331259765
893,0.21425491442026942
894,0.2117371997926919
895,0.20922651941500248
896,0.20672315523428306
897,0.2042272947680094
898,0.20173914439247026
899,0.19925903891822389
900,0.19678732256911685
901,0.19432418048600708
902,0.1918698065996092
903,0.1894244584730284
904,0.1869884629456995
905,0.18456203930571516
906,0.1821454109207774
907,0.17973886585294688
908,0.17734260678160968
909,0.17495686926182877
910,0.17258196795098343
911,0.17021823046152432
912,0.1678658637177141
913,0.16552500118315847
914,0.16319594891014585
915,0.16087898124041253
916,0.15857427760792359
917,0.15628193880984978
918,0.15400217672492247
919,0.15173523391375957
920,0.1494812329543083
921,0.1472403159858729
922,0.14501266684904254
923,0.1427985002193637
924,0.14059796744379918
925,0.13841121639587362
926,0.13623842795592161
927,0.13407973912601961
928,0.13193529270365695
929,0.1298052613664246
930,0.12768982331428227
